Ticker,Name,Price
3IN,3i Infrastructure,258.88
888,888 Holdings,164.45
ACA,Acacia Mining,206.1
AGK,Aggreko,724.6
AGR,Assura Group,53.25
AMGO,Amigo Holdings,275.8
AML,Aston Martin Lagonda,1192.2
APAX,Apax Global Alpha,141.25
ASCL,Ascential,379.3
ASHM,Ashmore Group,363.6
ASL,Aberforth Smaller Companies Trust,1147
ATST,Alliance Trust,688
AVST,Avast,279.05
AVV,AVEVA Group,2282
BAB,Babcock International Group,489.8
BAG,Barr (A G),797.5
BAKK,Bakkavor Group,143.8
BBA,BBA Aviation,218
BBGI,BBGI Sicav S.A.,154.75
BBOX,Tritax Big Box Reit,133.2
BBY,Balfour Beatty,247.6
BCA,BCA Marketplace,204.75
BEZ,Beazley,499.6
BGEO,BGEO Group,1377.8
BGFD,Baillie Gifford Japan Trust (the),679
BGSC,BMO GLOBAL SMALLER COMPANIES PLC ORD 25P,1232.5
BME,B&M; European Value Retail,287.45
BNKR,Bankers' Investment Trust (the),784.5
BOY,Bodycote,708.5
BRSC,BlackRock Smaller Companies Trust,1212.5
BRW,Brewin Dolphin Holdings,331.7
BTEM,British Empire Trust,672.5
BTG,BTG,827.75
BVIC,Britvic,818.5
BVS,Bovis Homes Group,866.6
BWY,Bellway,2606
BYG,Big Yellow Group,874
CAPC,Capital & Counties Properties,233.35
CARD,Card Factory,184.8
CBG,Close Brothers Group,1463
CCC,Computacenter,971
CCFS,Charter Court Financial Services Group,261.5
CEY,Centamin,124.5
CINE,Cineworld Group,265.4
CKN,Clarkson,2092.5
CLDN,Caledonia Investments,2822.5
CLI,CLS Holdings,210
CNE,Cairn Energy,156.1
COA,Coats Group,82.4
COB,Cobham,97.39
CPI,Capita Group (The),112.7
CRST,Crest Nicholson Holdings,334.4
CSH,W Resources (formerly Caspian Holdings ),103.75
CSP,Countryside Properties,297.7
CTEC,ConvaTec Group,137.43
CTY,City Of London Investment Trust (the),383.5
CWK,Cranswick,2669
CYBG,CYBG,183.8
DC.,Dixons Carphone,119.23
DCG,Dairy Crest Group,432.7
DJAN,Daejan Holdings,5725
DLN,Derwent London,2871
DNLM,Dunelm Group,561
DOM,Domino's Pizza Group,243.15
DPH,Dechra Pharmaceuticals,2080
DPLM,Diploma,1159
DRX,Drax Group,362.1
ECM,Electrocomponents,488.6
EDIN,Edinburgh Investment Trust (the),615.5
EFM,Edinburgh Dragon Trust,358.5
EIG,EI Group,191.4
